港澳频道,#genre#
台视[720p],rtmp://f13h.mine.nu/sat/tv071
哆啦A梦[720p],http://37.27.111.214:8080/live/107/hls.m3u8
大爱1[720p],https://pulltv1.wanfudaluye.com/live/tv1.m3u8?
大爱1[720p],https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱2[720p],http://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2[720p],http://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱2[720p],https://pulltv1.wanfudaluye.com/live/tv2.m3u8
大爱2[720p],https://pulltv1.wanfudaluye.com/live/tv2.m3u8?
大爱2[720p],https://pulltv2.wanfudaluye.com/live/tv2.m3u8?
大爱2台[720p],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱[720p],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱[720p],https://pulltv2.wanfudaluye.com/live/tv1.m3u8
大爱[720p],https://pulltv2.wanfudaluye.com/live/tv2.m3u8
大爱一台[720p],https://pulltv1.wanfudaluye.com/live/tv1.m3u8
寰宇台湾[720p],http://37.27.111.214:8080/live/63/hls.m3u8
寰宇财经[720p],http://37.27.111.214:8080/live/65/hls.m3u8
幸福空间[720p],http://37.27.111.214:8080/live/26/hls.m3u8
探案台[720p],http://37.27.111.214:8080/live/11/hls.m3u8
探索亚洲[720p],http://61.221.215.25:8800/hls/50/index.m3u8
新加坡中文[720p],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8?zshijd
新加坡国际[720p],https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
新唐人[720p],http://37.27.111.214:8080/live/51/hls.m3u8
旅游[720p],http://37.27.111.214:8080/live/82/hls.m3u8
星光视界[720p],http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
智林体育[720p],http://37.27.111.214:8080/live/77/hls.m3u8
民视[720p],http://37.27.111.214:8080/live/6/hls.m3u8
民视[720p],rtmp://220.130.201.73/sat/tv051
民视[720p],rtmp://f13h.mine.nu/sat/tv051
民视台湾台[720p],http://37.27.111.214:8080/live/5/hls.m3u8
民视第一[720p],http://37.27.111.214:8080/live/4/hls.m3u8
港台电视33[1080p],https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream05/streamPlaylist.m3u8?
港台电视34[1080p],https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8?
港台电视34[720p],https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8?
港台电视35[1080p],https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8?
港台电视35[720p],https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream04/streamPlaylist.m3u8?
澳视澳门[720p],http://61.244.22.5/ch1/ch1.live/index.m3u8
澳门体育[720p],http://61.244.22.5/ch4/sport_ch4.live/playelist.m3u8
澳门综艺[720p],http://61.244.22.5/ch6/hd_ch6.live/index.m3u8
澳门莲花[1080p],http://php.jdshipin.com:8880/amlh.php
澳门资讯[720p],http://61.244.22.5/ch5/info_ch5.live/index.m3u8
猪哥亮[720p],http://37.27.111.214:8080/live/35/hls.m3u8
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
番薯111[1080p],http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
纬来体育[720p],rtmp://220.130.201.73/sat/tv721
纬来体育[720p],rtmp://f13h.mine.nu/sat/tv721
纬来日本[720p],rtmp://220.130.201.73/sat/tv771
纬来日本[720p],rtmp://f13h.mine.nu/sat/tv771
