高码,#genre#
惊悚悬疑,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
惊悚悬疑,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/1.m3u8
精品大剧,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
精品大剧,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/1.m3u8
军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
军旅剧场,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225682/1.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
黑莓电影,http://39.134.65.175/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.173/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.164/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.65.179/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.65.179/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.67.226/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.65.208/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.65.164/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.65.173/PLTV/88888888/224/3221225681/index.m3u8
黑莓电影,http://39.134.65.175/PLTV/88888888/224/3221225681/index.m3u8
超级电影,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
超级电影,http://39.134.65.86:80/wh7f454c46tw209149529_1914587686/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8?icpid=88888888&RTS=1637151548&from=1&hms_devid=129&vqe=3
超级电影,http://39.134.65.175/PLTV/88888888/224/3221225644/1.m3u8
超级电影,http://39.134.65.173/PLTV/88888888/224/3221225644/1.m3u8
超级电影,http://39.134.65.179/PLTV/88888888/224/3221225644/1.m3u8
超级电影,http://39.134.66.4/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.65.141/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.65.142/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225717/index.m3u8?
超级电影,http://39.134.67.226/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.65.208/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
超级电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/1.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221225717/index.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/1.m3u8
超级电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
动作电影,http://39.134.67.226/PLTV/88888888/224/3221225555/index.m3u8
动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
动作电影,http://39.134.65.166/PLTV/88888888/224/3221225555/1.m3u8
动作电影,http://39.134.66.2/PLTV/88888888/224/3221225555/index.m3u8
动作电影,http://39.134.65.164/PLTV/88888888/224/3221225555/1.m3u8
动作电影,http://39.134.65.208/PLTV/88888888/224/3221225555/index.m3u8
动作电影,http://39.134.68.155:6610/PLTV/88888888/224/3221225661/index.m3u8?
动作电影,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/1.m3u8
动作电影,http://39.134.65.64:80/wh7f454c46tw1788616257_998076752/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?
动作电影,http://39.134.65.64:80/wh7f454c46tw1788616257_998076752/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?icpid=88888888&RTS=1554599561&from=1&hms_devid=125
动作电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
动作电影,http://ottrrs.hl.chinamobile.com/PLYT/88888888/224/3221225661/index.m3u8
明星大片,http://39.134.67.6:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/1.m3u8
明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
明星大片,http://39.134.65.7:80/wh7f454c46tw1738936394_2033607545/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8?
明星大片,http://39.134.65.6:80/wh7f454c46tw1932626875_2136730600/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8?icpid=88888888&RTS=1579029479&from=1&hms_devid=29
